S,BM,BN,warps,stages,us,p20,p80,tflops,pct_peak
1024,64,64,4,2,69.63200122117996,68.60800087451935,70.65600156784058,61.68094009473334,19.769532081645302
1024,64,64,4,3,72.7040022611618,71.68000191450119,74.75200295448303,59.074702388074094,18.93419948335708
1024,128,64,8,3,74.75200295448303,73.72800260782242,74.75200295448303,57.45621690719422,18.415454136921223
1024,64,32,4,3,75.77600330114365,71.68000191450119,92.16000139713287,56.67978131455738,18.16659657517865
1024,128,128,8,3,79.8719972372055,79.8719972372055,80.89599758386612,53.7731300651556,17.23497758498577
1024,128,32,8,3,82.94399827718735,81.91999793052673,84.99199897050858,51.78153193974101,16.59664485248109
1024,128,128,8,2,83.96799862384796,82.94399827718735,84.99199897050858,51.15004961878626,16.394246672687903
1024,128,64,8,2,84.99199897050858,84.99199897050858,86.01599931716919,50.53378374463593,16.196725559178184
1024,64,32,4,2,89.08800035715103,86.01599931716919,92.16000139713287,48.21039061132373,15.45204827286017
1024,128,64,4,3,91.13600105047226,91.13600105047226,93.18400174379349,47.1270106927491,15.104811119470865
1024,128,64,4,2,95.23200243711472,94.2080020904541,97.28000313043594,45.10004185658208,14.455141620699385
1024,128,32,4,2,102.39999741315842,101.3759970664978,105.47199845314026,41.943041059570334,13.443282390887926
1024,128,32,4,3,102.39999741315842,101.3759970664978,104.44799810647964,41.943041059570334,13.443282390887926
1024,128,128,4,2,107.51999914646149,105.47199845314026,109.56799983978271,39.94575269805839,12.803125864762304
1024,128,32,8,2,108.5439994931221,108.5439994931221,109.56799983978271,39.56890584515591,12.682341617037151
1024,64,64,8,3,111.61600053310394,110.59200018644333,112.64000087976456,38.479853027220464,12.333286226673225
1024,128,128,4,3,114.68800157308578,113.66400122642517,118.78400295972824,37.449142343482194,12.002930238295574
1024,64,64,8,2,119.80800330638885,118.78400295972824,119.80800330638885,35.84875114741995,11.48998434212178
1024,64,32,8,3,135.16800105571747,135.16800105571747,135.16800105571747,31.7750300548543,10.184304504760993
1024,64,32,8,2,153.60000729560852,152.5759994983673,154.62400019168854,27.962025338541725,8.962187608506962
4096,64,64,4,2,628.7360191345215,621.5680241584778,636.3136172294617,109.29782077793939,35.03135281344211
4096,64,32,4,2,648.7039923667908,639.9999856948853,662.5279784202576,105.93348822361583,33.95304109731276
4096,64,32,4,3,684.0320229530334,676.6592264175415,694.271981716156,100.4623678864204,32.1994768866732
4096,128,64,8,3,685.0559711456299,684.0320229530334,686.0799789428711,100.31220751361285,32.1513485620554
4096,64,64,4,3,708.6079716682434,703.4879922866821,712.7040028572083,96.97813104503591,31.082734309306385
4096,128,32,8,3,720.8960056304932,713.9328122138977,733.1839799880981,95.3250901645629,30.55291351428298
4096,128,128,8,3,739.3280267715454,738.3040189743042,740.3519749641418,92.94856173122533,29.79120568308504
4096,128,64,8,2,773.1199860572815,772.0959782600403,773.1199860572815,88.88591418578136,28.48907505954531
4096,128,128,8,2,778.2400250434875,778.2400250434875,778.2400250434875,88.30113400060604,28.301645513014755
4096,128,64,4,3,798.7200021743774,792.576014995575,804.8639893531799,86.03700489398422,27.57596310704622
4096,128,64,4,2,841.7279720306396,836.1983895301819,848.8960266113281,81.64095648409621,26.166973232082114
4096,128,32,4,3,914.9439930915833,906.2399864196777,923.4431982040405,75.10785059509253,24.07302903688863
4096,128,32,4,2,915.4559969902039,906.2399864196777,922.6239919662476,75.06584364724563,24.059565271553087
4096,128,128,4,2,933.3760142326355,925.6960153579712,943.1040287017822,73.62464396784068,23.597642297384834
4096,128,32,8,2,971.776008605957,970.7520008087158,973.6192226409912,70.71534605446807,22.665175017457713
4096,128,128,4,3,993.2799935340881,986.1119985580444,1003.5200119018555,69.18439632665533,22.17448600213312
4096,64,64,8,3,1190.9120082855225,1189.8880004882812,1191.9360160827637,57.703236055979396,18.49462694101904
4096,64,64,8,2,1309.6959590911865,1307.647943496704,1310.7199668884277,52.46979366393194,16.817241558952546
4096,64,32,8,3,1542.1439409255981,1542.1439409255981,1542.1439409255981,44.561000378962305,14.282371916334073
4096,64,32,8,2,1711.1040353775024,1711.1040353775024,1712.1280431747437,40.160899229507784,12.8720830863807
8192,64,64,4,2,2269.184112548828,2254.848003387451,2283.519983291626,121.13512756584892,38.82536139931055
8192,64,32,4,2,2322.9440450668335,2311.9871616363525,2341.273546218872,118.3316953018089,37.92682541724644
8192,128,64,8,3,2450.432062149048,2449.4080543518066,2450.432062149048,112.17528173498103,35.95361594069905
8192,64,32,4,3,2493.4399127960205,2471.3215827941895,2508.8000297546387,110.2404375310434,35.33347356764211
8192,128,32,8,3,2546.6880798339844,2526.003122329712,2565.5295848846436,107.93544333938176,34.59469337800697
8192,64,64,4,3,2596.8639850616455,2585.599899291992,2613.248109817505,105.8499438265631,33.926264046975355
8192,128,128,8,3,2641.9200897216797,2640.8960819244385,2641.9200897216797,104.04474685415552,33.3476752737678
8192,128,64,8,2,2771.456003189087,2768.8961029052734,2772.991895675659,99.18176822136117,31.789028276077296
8192,128,64,4,3,2790.4000282287598,2775.0399112701416,2803.30228805542,98.5084232236344,31.573212571677693
8192,128,128,8,2,2797.5680828094482,2796.544075012207,2797.5680828094482,98.25602051763286,31.49231426847207
8192,128,64,4,2,2945.5360174179077,2925.158452987671,2959.155130386353,93.32016492704825,29.91030927148982
8192,128,32,4,3,3214.3359184265137,3193.0367946624756,3252.019166946411,85.51623536551794,27.409049796640367
8192,128,32,4,2,3218.4319496154785,3196.108818054199,3238.9121055603027,85.40740063708384,27.374166870860208
8192,128,128,4,2,3244.0319061279297,3230.3104400634766,3262.873649597168,84.7334165933324,27.158146344016792
8192,128,128,4,3,3444.7360038757324,3433.8815212249756,3471.564769744873,79.79650882817438,25.57580411159435
8192,128,32,8,2,3458.048105239868,3455.180883407593,3461.1198902130127,79.48932420213774,25.477347500685173
8192,64,64,8,3,4449.27978515625,4445.184230804443,4478.975772857666,61.7803150660589,19.801383033993233
8192,64,64,8,2,4942.848205566406,4940.800189971924,4945.715427398682,55.61123779493071,17.824114677862408
8192,64,32,8,3,5828.60803604126,5827.583789825439,5829.631805419922,47.160129012671554,15.115425965599856
8192,64,32,8,2,6455.296039581299,6452.019023895264,6458.367824554443,42.58176623636753,13.648001998835747
